time ,power
203460,5906.1509
203490,5914.4116
203520,5909.0327
203550,5906.7915
203580,5899.7944
203610,5908.23
203640,5927.3506
203670,5902.6606
203700,5903.6929
203730,5902.8657
203760,5902.1104
203790,5913.8984
203820,5920.3403
203850,5896.04
203880,5891.626
203910,5887.9438
203940,5893.3042
203970,5895.2312
204000,5897.1582
204030,5901.7871
204060,5903.3945
204090,5903.9502
204120,5899.2593
204150,5899.5571
204180,5904.1431
204210,5899.7314
204240,5893.1406
204270,5925.6118
204300,5932.2012
204330,5936.7754
204360,5935.4819
204390,5939.7939
204420,6168.5996
204450,6171.6484
204480,6172.02
204510,6309.5381
204540,6306.7622
204570,6302.4956
204600,6301.0723
204630,6296.8652
204660,6288.8267
204690,6287.6401
204720,6289.7886
204750,6291.0518
204780,6287.2173
204810,6288.3989
204840,6289.8262
204870,6289.2778
204900,6271.9946
204930,6269.7471
204960,6275.4692
204990,6277.6558
205020,6283.9258
205050,6281.9458
205080,6286.6206
205110,6278.0859
205140,6273.2373
205170,6316.689
205200,6316.2275
205230,6319.2524
205260,6319.5112
205290,6323.8184
205320,6322.312
205350,6320.8174
205380,6298.209
205410,6288.8984
205440,6279.2563
205470,6283.5166
205500,6282.4609
205530,6284.002
205560,6277.7515
205590,6281.0278
205620,6283.1348
205650,6283.5107
205680,6285.8931
205710,6290.5171
205740,6332.2197
205770,6344.4971
205800,6352.2681
205830,6348.9136
205860,6342.22585
205890,6335.5381
205920,6336.8369
205950,6332.8584
205980,6328.167
206010,6324.8896
206040,6319.2603
206070,6302.2773
206100,6289.0332
206130,6286.915
206160,6285.1401
206190,6286.0181
206220,6291.7681
206250,6292.6318
206280,6298.4795
206310,6299.4102
206340,6300.5757
206370,6296.0649
206400,6295.9912
206430,6301.2803
206460,6299.0391
206490,6296.3843
206520,6292.916
206550,6302.4961
206580,6293.873
206610,6280.7766
206640,6267.6802
206670,6260.3794
206700,6258.4844
206730,6260.437
206760,6259.0923
206790,6262.8135
206820,6261.2119
206850,6259.1816
206880,6254.3066
206910,6251.6377
